season,date,team1,team2,toss_winner,toss_decision,winner,venue
2018/19,1/28/2019,New Zealand,India,New Zealand,bat,India,Bay Oval
2018/19,1/27/2019,South Africa,Pakistan,Pakistan,field,Pakistan,The Wanderers Stadium
2018/19,1/26/2019,United Arab Emirates,Nepal,Nepal,bat,Nepal,ICC Academy
2018/19,1/26/2019,New Zealand,India,India,bat,India,Bay Oval
2018/19,1/25/2019,United Arab Emirates,Nepal,United Arab Emirates,field,United Arab Emirates,ICC Academy
2018/19,1/25/2019,South Africa,Pakistan,Pakistan,bat,South Africa,SuperSport Park
2018/19,1/23/2019,New Zealand,India,New Zealand,bat,India,McLean Park
2018/19,1/22/2019,South Africa,Pakistan,South Africa,field,South Africa,Kingsmead
2018/19,1/19/2019,South Africa,Pakistan,South Africa,bat,Pakistan,St George's Park
2018/19,1/18/2019,Australia,India,India,field,India,Melbourne Cricket Ground
2018/19,1/15/2019,Australia,India,Australia,bat,India,Adelaide Oval
2018/19,1/12/2019,Australia,India,Australia,bat,Australia,Sydney Cricket Ground
2018/19,1/8/2019,New Zealand,Sri Lanka,Sri Lanka,field,New Zealand,Saxton Oval
2018/19,1/5/2019,New Zealand,Sri Lanka,New Zealand,bat,New Zealand,Bay Oval
2018/19,1/3/2019,New Zealand,Sri Lanka,New Zealand,bat,New Zealand,Bay Oval
2018/19,12/14/2018,Bangladesh,West Indies,Bangladesh,field,Bangladesh,Sylhet International Cricket Stadium
2018/19,12/11/2018,Bangladesh,West Indies,West Indies,field,West Indies,"Shere Bangla National Stadium, Mirpur"
2018/19,12/9/2018,Bangladesh,West Indies,West Indies,bat,Bangladesh,"Shere Bangla National Stadium, Mirpur"
2018/19,11/11/2018,South Africa,Australia,Australia,field,South Africa,Bellerive Oval
2018/19,11/11/2018,Pakistan,New Zealand,Pakistan,bat,,Dubai International Cricket Stadium
2018/19,11/9/2018,New Zealand,Pakistan,New Zealand,bat,Pakistan,Sheikh Zayed Stadium
2018/19,11/9/2018,Australia,South Africa,South Africa,field,Australia,Adelaide Oval
2018/19,11/7/2018,New Zealand,Pakistan,New Zealand,bat,New Zealand,Sheikh Zayed Stadium
2018/19,11/4/2018,Australia,South Africa,South Africa,field,South Africa,Perth Stadium
2018/19,11/1/2018,West Indies,India,West Indies,bat,India,Greenfield International Stadium
2018/19,10/29/2018,India,West Indies,India,bat,India,Brabourne Stadium
2018/19,10/27/2018,West Indies,India,India,field,West Indies,Maharashtra Cricket Association Stadium
2018/19,10/26/2018,Zimbabwe,Bangladesh,Bangladesh,field,Bangladesh,Zahur Ahmed Chowdhury Stadium
2018/19,10/24/2018,India,West Indies,India,bat,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2018/19,10/24/2018,Zimbabwe,Bangladesh,Bangladesh,field,Bangladesh,Zahur Ahmed Chowdhury Stadium
2018/19,10/23/2018,Sri Lanka,England,Sri Lanka,bat,Sri Lanka,"R.Premadasa Stadium, Khettarama"
2018/19,10/21/2018,West Indies,India,India,field,India,Barsapara Cricket Stadium
2018/19,10/21/2018,Bangladesh,Zimbabwe,Bangladesh,bat,Bangladesh,"Shere Bangla National Stadium, Mirpur"
2018/19,10/20/2018,Sri Lanka,England,England,field,England,Pallekele International Cricket Stadium
2018/19,10/17/2018,Sri Lanka,England,England,field,England,Pallekele International Cricket Stadium
2018/19,10/13/2018,England,Sri Lanka,Sri Lanka,field,England,Rangiri Dambulla International Stadium
2018/19,10/10/2018,England,Sri Lanka,Sri Lanka,field,,Rangiri Dambulla International Stadium
2018/19,10/6/2018,Zimbabwe,South Africa,Zimbabwe,bat,South Africa,Boland Park
2018/19,10/3/2018,South Africa,Zimbabwe,South Africa,bat,South Africa,Mangaung Oval
2018/19,9/30/2018,Zimbabwe,South Africa,South Africa,field,South Africa,Diamond Oval
2018,9/28/2018,Bangladesh,India,India,field,India,Dubai International Cricket Stadium
2018,9/26/2018,Bangladesh,Pakistan,Bangladesh,bat,Bangladesh,Sheikh Zayed Stadium
2018,9/25/2018,Afghanistan,India,Afghanistan,bat,,Dubai International Cricket Stadium
2018,9/23/2018,Bangladesh,Afghanistan,Bangladesh,bat,Bangladesh,Sheikh Zayed Stadium
2018,9/23/2018,Pakistan,India,Pakistan,bat,India,Dubai International Cricket Stadium
2018,9/21/2018,Bangladesh,India,India,field,India,Dubai International Cricket Stadium
2018,9/21/2018,Afghanistan,Pakistan,Afghanistan,bat,Pakistan,Sheikh Zayed Stadium
2018,9/20/2018,Afghanistan,Bangladesh,Afghanistan,bat,Afghanistan,Sheikh Zayed Stadium
2018,9/19/2018,Pakistan,India,Pakistan,bat,India,Dubai International Cricket Stadium
2018,9/18/2018,India,Hong Kong,Hong Kong,field,India,Dubai International Cricket Stadium
2018,9/17/2018,Afghanistan,Sri Lanka,Afghanistan,bat,Afghanistan,Sheikh Zayed Stadium
2018,9/16/2018,Hong Kong,Pakistan,Hong Kong,bat,Pakistan,Dubai International Cricket Stadium
2018,9/15/2018,Bangladesh,Sri Lanka,Bangladesh,bat,Bangladesh,Dubai International Cricket Stadium
2018,8/31/2018,Ireland,Afghanistan,Ireland,bat,Afghanistan,"Civil Service Cricket Club, Stormont"
2018,8/30/2018,United Arab Emirates,Nepal,Nepal,field,United Arab Emirates,Kinrara Academy Oval
2018,8/29/2018,Afghanistan,Ireland,Afghanistan,bat,Ireland,"Civil Service Cricket Club, Stormont"
2018,8/27/2018,Afghanistan,Ireland,Ireland,field,Afghanistan,"Civil Service Cricket Club, Stormont"
2018,8/12/2018,Sri Lanka,South Africa,Sri Lanka,bat,Sri Lanka,"R.Premadasa Stadium, Khettarama"
2018,8/8/2018,Sri Lanka,South Africa,South Africa,field,Sri Lanka,Pallekele International Cricket Stadium
2018,8/5/2018,South Africa,Sri Lanka,Sri Lanka,field,South Africa,Pallekele International Cricket Stadium
2018,8/1/2018,Sri Lanka,South Africa,Sri Lanka,bat,South Africa,Rangiri Dambulla International Stadium
2018,7/29/2018,Sri Lanka,South Africa,Sri Lanka,bat,South Africa,Rangiri Dambulla International Stadium
2018,7/28/2018,Bangladesh,West Indies,Bangladesh,bat,Bangladesh,"Warner Park, Basseterre"
2018,7/25/2018,West Indies,Bangladesh,Bangladesh,field,West Indies,Providence Stadium
2018,7/22/2018,Pakistan,Zimbabwe,Pakistan,bat,Pakistan,Queens Sports Club
2018,7/22/2018,Bangladesh,West Indies,Bangladesh,bat,Bangladesh,Providence Stadium
2018,7/20/2018,Pakistan,Zimbabwe,Pakistan,bat,Pakistan,Queens Sports Club
2018,7/18/2018,Zimbabwe,Pakistan,Zimbabwe,bat,Pakistan,Queens Sports Club
2018,7/17/2018,India,England,England,field,England,Headingley
2018,7/16/2018,Zimbabwe,Pakistan,Zimbabwe,bat,Pakistan,Queens Sports Club
2018,7/14/2018,England,India,England,bat,England,Lord's
2018,7/13/2018,Pakistan,Zimbabwe,Zimbabwe,field,Pakistan,Queens Sports Club
2018,7/12/2018,England,India,India,field,India,Trent Bridge
2018,6/24/2018,Australia,England,Australia,bat,England,Old Trafford
2018,6/21/2018,Australia,England,Australia,bat,England,Riverside Ground
2018,6/19/2018,England,Australia,Australia,field,England,Trent Bridge
2018,6/16/2018,England,Australia,Australia,field,England,Sophia Gardens
2018,6/13/2018,Australia,England,Australia,bat,England,Kennington Oval
2017/18,3/25/2018,West Indies,Afghanistan,West Indies,bat,Afghanistan,Harare Sports Club
2017/18,3/23/2018,Ireland,Afghanistan,Ireland,bat,Afghanistan,Harare Sports Club
2017/18,3/22/2018,United Arab Emirates,Zimbabwe,Zimbabwe,field,United Arab Emirates,Harare Sports Club
2017/18,3/21/2018,West Indies,Scotland,Scotland,field,West Indies,Harare Sports Club
2017/18,3/20/2018,United Arab Emirates,Afghanistan,United Arab Emirates,bat,Afghanistan,Old Hararians
2017/18,3/19/2018,Zimbabwe,West Indies,Zimbabwe,bat,West Indies,Harare Sports Club
2017/18,3/18/2018,Ireland,Scotland,Scotland,field,Ireland,Harare Sports Club
2017/18,3/17/2018,Papua New Guinea,Hong Kong,Papua New Guinea,bat,Papua New Guinea,Old Hararians
2017/18,3/16/2018,Zimbabwe,Ireland,Ireland,field,Zimbabwe,Harare Sports Club
2017/18,3/15/2018,West Indies,Afghanistan,West Indies,bat,Afghanistan,Harare Sports Club
2017/18,3/15/2018,Scotland,United Arab Emirates,Scotland,bat,Scotland,Queens Sports Club
2017/18,3/12/2018,Ireland,United Arab Emirates,United Arab Emirates,field,Ireland,Old Hararians
2017/18,3/12/2018,Zimbabwe,Scotland,Zimbabwe,bat,,Queens Sports Club
2017/18,3/10/2018,West Indies,Ireland,Ireland,field,West Indies,Harare Sports Club
2017/18,3/10/2018,New Zealand,England,England,field,England,Hagley Oval
2017/18,3/10/2018,Zimbabwe,Hong Kong,Hong Kong,field,Zimbabwe,Queens Sports Club
2017/18,3/8/2018,Papua New Guinea,West Indies,Papua New Guinea,bat,West Indies,Old Hararians
2017/18,3/8/2018,Hong Kong,Afghanistan,Afghanistan,field,Hong Kong,Bulawayo Athletic Club
2017/18,3/7/2018,England,New Zealand,New Zealand,field,New Zealand,University Oval
2017/18,3/6/2018,West Indies,United Arab Emirates,West Indies,bat,West Indies,Old Hararians
2017/18,3/6/2018,Hong Kong,Scotland,Scotland,field,Scotland,Bulawayo Athletic Club
2017/18,3/6/2018,Zimbabwe,Afghanistan,Zimbabwe,bat,Zimbabwe,Queens Sports Club
2017/18,3/6/2018,Papua New Guinea,Ireland,Ireland,field,Ireland,Harare Sports Club
2017/18,3/4/2018,United Arab Emirates,Papua New Guinea,Papua New Guinea,field,United Arab Emirates,Harare Sports Club
2017/18,3/4/2018,Afghanistan,Scotland,Scotland,field,Scotland,Bulawayo Athletic Club
2017/18,3/3/2018,England,New Zealand,New Zealand,field,England,Westpac Stadium
2017/18,2/28/2018,New Zealand,England,England,field,England,Bay Oval
2017/18,2/25/2018,England,New Zealand,New Zealand,field,New Zealand,Seddon Park
2017/18,2/19/2018,Afghanistan,Zimbabwe,Afghanistan,bat,Afghanistan,Sharjah Cricket Stadium
2017/18,2/16/2018,South Africa,India,India,field,India,SuperSport Park
2017/18,2/16/2018,Zimbabwe,Afghanistan,Zimbabwe,bat,Afghanistan,Sharjah Cricket Stadium
2017/18,2/13/2018,India,South Africa,South Africa,field,India,St George's Park
2017/18,2/13/2018,Zimbabwe,Afghanistan,Zimbabwe,bat,Afghanistan,Sharjah Cricket Stadium
2017/18,2/11/2018,Zimbabwe,Afghanistan,Zimbabwe,bat,Zimbabwe,Sharjah Cricket Stadium
2017/18,2/10/2018,India,South Africa,India,bat,South Africa,The Wanderers Stadium
2017/18,2/9/2018,Afghanistan,Zimbabwe,Afghanistan,bat,Afghanistan,Sharjah Cricket Stadium
2017/18,2/7/2018,India,South Africa,South Africa,field,India,Newlands
2017/18,2/4/2018,South Africa,India,India,field,India,SuperSport Park
2017/18,2/1/2018,South Africa,India,South Africa,bat,India,Kingsmead
2017/18,1/28/2018,England,Australia,Australia,field,England,Perth Stadium
2017/18,1/27/2018,Sri Lanka,Bangladesh,Sri Lanka,bat,Sri Lanka,"Shere Bangla National Stadium, Mirpur"
2017/18,1/26/2018,England,Australia,Australia,field,Australia,Adelaide Oval
2017/18,1/25/2018,Bangladesh,Sri Lanka,Bangladesh,bat,Sri Lanka,"Shere Bangla National Stadium, Mirpur"
2017/18,1/23/2018,Scotland,United Arab Emirates,Scotland,bat,United Arab Emirates,ICC Academy
2017/18,1/23/2018,Bangladesh,Zimbabwe,Bangladesh,bat,Bangladesh,"Shere Bangla National Stadium, Mirpur"
2017/18,1/21/2018,Zimbabwe,Sri Lanka,Zimbabwe,bat,Sri Lanka,"Shere Bangla National Stadium, Mirpur"
2017/18,1/21/2018,England,Australia,Australia,field,England,Sydney Cricket Ground
2017/18,1/21/2018,Scotland,United Arab Emirates,United Arab Emirates,field,Scotland,ICC Academy
2017/18,1/19/2018,New Zealand,Pakistan,New Zealand,bat,New Zealand,Basin Reserve
2017/18,1/19/2018,Australia,England,Australia,bat,England,"Brisbane Cricket Ground, Woolloongabba"
2017/18,1/19/2018,Bangladesh,Sri Lanka,Bangladesh,bat,Bangladesh,"Shere Bangla National Stadium, Mirpur"
2017/18,1/18/2018,Ireland,Scotland,Ireland,bat,Ireland,ICC Academy
2017/18,1/17/2018,Zimbabwe,Sri Lanka,Sri Lanka,field,Zimbabwe,"Shere Bangla National Stadium, Mirpur"
2017/18,1/16/2018,Pakistan,New Zealand,Pakistan,bat,New Zealand,Seddon Park
2017/18,1/16/2018,Scotland,Ireland,Ireland,field,Ireland,ICC Academy
2017/18,1/15/2018,Zimbabwe,Bangladesh,Bangladesh,field,Bangladesh,"Shere Bangla National Stadium, Mirpur"
2017/18,1/14/2018,Australia,England,England,field,England,Melbourne Cricket Ground
2017/18,1/13/2018,New Zealand,Pakistan,New Zealand,bat,New Zealand,University Oval
2017/18,1/13/2018,Ireland,United Arab Emirates,Ireland,bat,Ireland,ICC Academy
2017/18,1/11/2018,United Arab Emirates,Ireland,Ireland,field,Ireland,ICC Academy
2017/18,1/9/2018,Pakistan,New Zealand,Pakistan,bat,New Zealand,Saxton Oval
2017/18,1/6/2018,New Zealand,Pakistan,Pakistan,field,New Zealand,Basin Reserve
2017/18,12/26/2017,New Zealand,West Indies,New Zealand,bat,New Zealand,Hagley Oval
2017/18,12/23/2017,New Zealand,West Indies,West Indies,field,New Zealand,Hagley Oval
2017/18,12/20/2017,West Indies,New Zealand,New Zealand,field,New Zealand,Cobham Oval (New)
2017/18,12/17/2017,Sri Lanka,India,India,field,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2017/18,12/13/2017,India,Sri Lanka,Sri Lanka,field,India,"Punjab Cricket Association IS Bindra Stadium, Mohali"
2017/18,12/10/2017,India,Sri Lanka,Sri Lanka,field,Sri Lanka,Himachal Pradesh Cricket Association Stadium
2017/18,12/10/2017,Afghanistan,Ireland,Afghanistan,bat,Ireland,Sharjah Cricket Stadium
2017/18,12/7/2017,Ireland,Afghanistan,Ireland,bat,Ireland,Sharjah Cricket Stadium
2017/18,12/6/2017,Hong Kong,Papua New Guinea,Papua New Guinea,field,Hong Kong,ICC Academy
2017/18,12/5/2017,Afghanistan,Ireland,Ireland,field,Afghanistan,Sharjah Cricket Stadium
2017/18,10/29/2017,India,New Zealand,New Zealand,field,India,Green Park
2017/18,10/25/2017,New Zealand,India,New Zealand,bat,India,Maharashtra Cricket Association Stadium
2017/18,10/23/2017,Sri Lanka,Pakistan,Sri Lanka,bat,Pakistan,Sharjah Cricket Stadium
2017/18,10/22/2017,India,New Zealand,India,bat,New Zealand,Wankhede Stadium
2017/18,10/22/2017,South Africa,Bangladesh,South Africa,bat,South Africa,Buffalo Park
2017/18,10/20/2017,Sri Lanka,Pakistan,Sri Lanka,bat,Pakistan,Sharjah Cricket Stadium
2017/18,10/18/2017,South Africa,Bangladesh,Bangladesh,field,South Africa,Boland Park
2017/18,10/18/2017,Sri Lanka,Pakistan,Sri Lanka,bat,Pakistan,Sheikh Zayed Stadium
2017/18,10/16/2017,Pakistan,Sri Lanka,Pakistan,bat,Pakistan,Sheikh Zayed Stadium
2017/18,10/15/2017,Bangladesh,South Africa,Bangladesh,bat,South Africa,Diamond Oval
2017/18,10/13/2017,Pakistan,Sri Lanka,Sri Lanka,field,Pakistan,Dubai International Cricket Stadium
2017/18,10/1/2017,Australia,India,Australia,bat,India,"Vidarbha Cricket Association Stadium, Jamtha"
2017,9/29/2017,West Indies,England,England,field,England,The Rose Bowl
2017/18,9/28/2017,Australia,India,Australia,bat,Australia,M.Chinnaswamy Stadium
2017,9/27/2017,West Indies,England,England,field,England,Kennington Oval
2017/18,9/24/2017,Australia,India,Australia,bat,India,Holkar Cricket Stadium
2017,9/24/2017,England,West Indies,West Indies,field,England,County Ground
2017,9/21/2017,England,West Indies,West Indies,field,,Trent Bridge
2017/18,9/21/2017,India,Australia,India,bat,India,Eden Gardens
2017,9/19/2017,West Indies,England,West Indies,bat,England,Old Trafford
2017/18,9/17/2017,India,Australia,India,bat,India,"MA Chidambaram Stadium, Chepauk"
2017,9/3/2017,Sri Lanka,India,Sri Lanka,bat,India,"R.Premadasa Stadium, Khettarama"
2017,8/31/2017,India,Sri Lanka,India,bat,India,"R.Premadasa Stadium, Khettarama"
2017,8/27/2017,Sri Lanka,India,Sri Lanka,bat,India,Pallekele International Cricket Stadium
2017,8/24/2017,Sri Lanka,India,India,field,India,Pallekele International Cricket Stadium
2017,8/20/2017,Sri Lanka,India,India,field,India,Rangiri Dambulla International Stadium
2017,7/10/2017,Sri Lanka,Zimbabwe,Zimbabwe,field,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2017,7/8/2017,Sri Lanka,Zimbabwe,Sri Lanka,bat,Zimbabwe,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2017,7/6/2017,West Indies,India,West Indies,bat,India,"Sabina Park, Kingston"
2017,7/6/2017,Sri Lanka,Zimbabwe,Sri Lanka,field,Sri Lanka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
2017,7/2/2017,West Indies,India,West Indies,bat,West Indies,"Sir Vivian Richards Stadium, North Sound"
2017,7/2/2017,Sri Lanka,Zimbabwe,Sri Lanka,field,Sri Lanka,Galle International Stadium
2017,6/30/2017,West Indies,India,West Indies,field,India,"Sir Vivian Richards Stadium, North Sound"
2017,6/30/2017,Sri Lanka,Zimbabwe,Sri Lanka,bat,Zimbabwe,Galle International Stadium
2017,6/25/2017,West Indies,India,West Indies,field,India,"Queen's Park Oval, Port of Spain"
2017,6/23/2017,West Indies,India,West Indies,field,,"Queen's Park Oval, Port of Spain"
2017,6/18/2017,India,Pakistan,India,field,Pakistan,Kennington Oval
2017,6/17/2017,Scotland,Zimbabwe,Scotland,bat,Zimbabwe,"Grange Cricket Club Ground, Raeburn Place"
2017,6/15/2017,Bangladesh,India,India,field,India,Edgbaston
2017,6/15/2017,Scotland,Zimbabwe,Scotland,bat,Scotland,"Grange Cricket Club Ground, Raeburn Place"
2017,6/14/2017,England,Pakistan,Pakistan,field,Pakistan,Sophia Gardens
2017,6/12/2017,Pakistan,Sri Lanka,Pakistan,field,Pakistan,Sophia Gardens
2017,6/11/2017,West Indies,Afghanistan,Afghanistan,bat,West Indies,"Darren Sammy National Cricket Stadium, Gros Islet"
2017,6/11/2017,India,South Africa,India,field,India,Kennington Oval
2017,6/10/2017,England,Australia,England,field,England,Edgbaston
2017,6/9/2017,West Indies,Afghanistan,Afghanistan,bat,Afghanistan,"Darren Sammy National Cricket Stadium, Gros Islet"
2017,6/9/2017,Bangladesh,New Zealand,New Zealand,bat,Bangladesh,Sophia Gardens
2017,6/8/2017,India,Sri Lanka,Sri Lanka,field,Sri Lanka,Kennington Oval
2017,6/7/2017,Pakistan,South Africa,South Africa,bat,Pakistan,Edgbaston
2017,6/6/2017,England,New Zealand,New Zealand,field,England,Sophia Gardens
2017,6/5/2017,Australia,Bangladesh,Bangladesh,bat,,Kennington Oval
2017,6/4/2017,India,Pakistan,Pakistan,field,India,Edgbaston
2017,6/3/2017,South Africa,Sri Lanka,Sri Lanka,field,South Africa,Kennington Oval
2017,6/2/2017,Australia,New Zealand,New Zealand,bat,,Edgbaston
2017,6/1/2017,England,Bangladesh,England,field,England,Kennington Oval
2017,5/29/2017,England,South Africa,South Africa,field,South Africa,Lord's
2017,5/27/2017,England,South Africa,South Africa,field,England,The Rose Bowl
2017,5/24/2017,England,South Africa,South Africa,field,England,Headingley
2017,5/24/2017,Bangladesh,New Zealand,Bangladesh,field,Bangladesh,Clontarf Cricket Club Ground
2017,5/21/2017,Ireland,New Zealand,Ireland,field,New Zealand,Malahide
2017,5/19/2017,Ireland,Bangladesh,Bangladesh,field,Bangladesh,Malahide
2017,5/17/2017,Bangladesh,New Zealand,New Zealand,field,New Zealand,Clontarf Cricket Club Ground
2017,5/14/2017,Ireland,New Zealand,Ireland,field,New Zealand,Malahide
2017,5/12/2017,Ireland,Bangladesh,Ireland,field,,Malahide
2017,5/7/2017,England,Ireland,Ireland,field,England,Lord's
2017,5/5/2017,England,Ireland,Ireland,bat,England,County Ground
2017,4/11/2017,West Indies,Pakistan,West Indies,bat,Pakistan,Providence Stadium
2017,4/9/2017,West Indies,Pakistan,West Indies,field,Pakistan,Providence Stadium
2017,4/7/2017,West Indies,Pakistan,West Indies,field,West Indies,Providence Stadium
2017,4/4/2017,United Arab Emirates,Papua New Guinea,United Arab Emirates,bat,United Arab Emirates,Sheikh Zayed Stadium
2017,4/2/2017,United Arab Emirates,Papua New Guinea,Papua New Guinea,bat,Papua New Guinea,Sheikh Zayed Stadium
2016/17,4/1/2017,Sri Lanka,Bangladesh,Bangladesh,field,Sri Lanka,Sinhalese Sports Club Ground
2016/17,3/28/2017,Sri Lanka,Bangladesh,Sri Lanka,bat,,Rangiri Dambulla International Stadium
2016/17,3/25/2017,Sri Lanka,Bangladesh,Sri Lanka,field,Bangladesh,Rangiri Dambulla International Stadium
2016/17,3/24/2017,Afghanistan,Ireland,Ireland,bat,Afghanistan,Greater Noida Sports Complex Ground
2016/17,3/22/2017,Afghanistan,Ireland,Afghanistan,bat,Ireland,Greater Noida Sports Complex Ground
2016/17,3/19/2017,Afghanistan,Ireland,Afghanistan,bat,Ireland,Greater Noida Sports Complex Ground
2016/17,3/17/2017,Afghanistan,Ireland,Afghanistan,bat,Afghanistan,Greater Noida Sports Complex Ground
2016/17,3/15/2017,Afghanistan,Ireland,Afghanistan,bat,Afghanistan,Greater Noida Sports Complex Ground
2016/17,3/9/2017,West Indies,England,West Indies,field,England,"Kensington Oval, Bridgetown"
2016/17,3/5/2017,West Indies,England,West Indies,bat,England,"Sir Vivian Richards Stadium, North Sound"
2016/17,3/4/2017,New Zealand,South Africa,South Africa,field,South Africa,Eden Park
2016/17,3/4/2017,United Arab Emirates,Ireland,United Arab Emirates,bat,Ireland,ICC Global Cricket Academy
2016/17,3/3/2017,West Indies,England,West Indies,field,England,"Sir Vivian Richards Stadium, North Sound"
2016/17,3/2/2017,United Arab Emirates,Ireland,United Arab Emirates,field,Ireland,ICC Global Cricket Academy
2016/17,3/1/2017,New Zealand,South Africa,South Africa,bat,New Zealand,Seddon Park
2016/17,2/26/2017,Zimbabwe,Afghanistan,Afghanistan,bat,Afghanistan,Harare Sports Club
2016/17,2/25/2017,New Zealand,South Africa,South Africa,bat,South Africa,Westpac Stadium
2016/17,2/24/2017,Zimbabwe,Afghanistan,Afghanistan,bat,Zimbabwe,Harare Sports Club
2016/17,2/22/2017,New Zealand,South Africa,South Africa,field,New Zealand,Hagley Oval
2016/17,2/21/2017,Zimbabwe,Afghanistan,Zimbabwe,bat,Zimbabwe,Harare Sports Club
2016/17,2/19/2017,Zimbabwe,Afghanistan,Afghanistan,bat,Afghanistan,Harare Sports Club
2016/17,2/19/2017,New Zealand,South Africa,South Africa,field,South Africa,Seddon Park
2016/17,2/16/2017,Zimbabwe,Afghanistan,Afghanistan,bat,Afghanistan,Harare Sports Club
2016/17,2/10/2017,South Africa,Sri Lanka,Sri Lanka,field,South Africa,SuperSport Park
2016/17,2/7/2017,South Africa,Sri Lanka,South Africa,bat,South Africa,Newlands
2016/17,2/5/2017,New Zealand,Australia,New Zealand,bat,New Zealand,Seddon Park
2016/17,2/4/2017,South Africa,Sri Lanka,South Africa,field,South Africa,New Wanderers Stadium
2016/17,2/1/2017,South Africa,Sri Lanka,Sri Lanka,field,South Africa,Kingsmead
2016/17,1/30/2017,New Zealand,Australia,Australia,field,New Zealand,Eden Park
2016/17,1/28/2017,South Africa,Sri Lanka,South Africa,field,South Africa,St George's Park
2016/17,1/26/2017,United Arab Emirates,Hong Kong,United Arab Emirates,field,United Arab Emirates,Dubai International Cricket Stadium
2016/17,1/26/2017,Australia,Pakistan,Australia,bat,Australia,Adelaide Oval
2016/17,1/24/2017,United Arab Emirates,Scotland,Scotland,bat,United Arab Emirates,Dubai International Cricket Stadium
2016/17,1/22/2017,Hong Kong,Scotland,Hong Kong,field,Hong Kong,Sheikh Zayed Stadium
2016/17,1/22/2017,Australia,Pakistan,Australia,bat,Australia,Sydney Cricket Ground
2016/17,1/22/2017,India,England,India,field,England,Eden Gardens
2016/17,1/19/2017,India,England,England,field,India,Barabati Stadium
2016/17,1/19/2017,Australia,Pakistan,Australia,field,Australia,Western Australia Cricket Association Ground
2016/17,1/15/2017,India,England,India,field,India,Maharashtra Cricket Association Stadium
2016/17,1/15/2017,Australia,Pakistan,Australia,bat,Pakistan,Melbourne Cricket Ground
2016/17,1/13/2017,Australia,Pakistan,Australia,bat,Australia,"Brisbane Cricket Ground, Woolloongabba"
2016/17,12/31/2016,New Zealand,Bangladesh,Bangladesh,bat,New Zealand,Saxton Oval
2016/17,12/29/2016,New Zealand,Bangladesh,Bangladesh,field,New Zealand,Saxton Oval
2016/17,12/26/2016,New Zealand,Bangladesh,New Zealand,bat,New Zealand,Hagley Oval
2016/17,12/9/2016,Australia,New Zealand,Australia,bat,Australia,Melbourne Cricket Ground
2016/17,12/6/2016,Australia,New Zealand,New Zealand,field,Australia,Manuka Oval
2016/17,12/4/2016,Australia,New Zealand,Australia,bat,Australia,Sydney Cricket Ground
2016/17,11/27/2016,Zimbabwe,Sri Lanka,Zimbabwe,bat,Sri Lanka,Queens Sports Club
2016/17,11/25/2016,Zimbabwe,West Indies,Zimbabwe,bat,Zimbabwe,Queens Sports Club
2016/17,11/23/2016,Sri Lanka,West Indies,West Indies,field,Sri Lanka,Queens Sports Club
2016/17,11/21/2016,Zimbabwe,Sri Lanka,Zimbabwe,bat,,Queens Sports Club
2016/17,11/19/2016,Zimbabwe,West Indies,Zimbabwe,bat,,Queens Sports Club
2016/17,11/16/2016,Sri Lanka,West Indies,Sri Lanka,field,West Indies,Harare Sports Club
2016/17,11/14/2016,Zimbabwe,Sri Lanka,Sri Lanka,field,Sri Lanka,Harare Sports Club
2016/17,11/8/2016,Hong Kong,Papua New Guinea,Papua New Guinea,bat,Hong Kong,"Mission Road Ground, Mong Kok"
2016/17,11/6/2016,Hong Kong,Papua New Guinea,Papua New Guinea,bat,Papua New Guinea,"Mission Road Ground, Mong Kok"
2016/17,11/4/2016,Hong Kong,Papua New Guinea,Hong Kong,bat,Hong Kong,"Mission Road Ground, Mong Kok"
2016/17,10/29/2016,India,New Zealand,India,bat,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
2016/17,10/26/2016,India,New Zealand,New Zealand,bat,New Zealand,JSCA International Stadium Complex
2016/17,10/23/2016,India,New Zealand,India,field,India,"Punjab Cricket Association Stadium, Mohali"
2016/17,10/20/2016,India,New Zealand,India,field,New Zealand,Feroz Shah Kotla
2016/17,10/16/2016,India,New Zealand,India,field,India,Himachal Pradesh Cricket Association Stadium
2016/17,10/12/2016,Bangladesh,England,England,field,England,Zahur Ahmed Chowdhury Stadium
2016/17,10/12/2016,South Africa,Australia,South Africa,bat,South Africa,Newlands
2016/17,10/9/2016,Bangladesh,England,England,field,Bangladesh,Shere Bangla National Stadium
2016/17,10/9/2016,South Africa,Australia,Australia,bat,South Africa,St George's Park
2016/17,10/7/2016,Bangladesh,England,England,bat,England,Shere Bangla National Stadium
2016/17,10/5/2016,South Africa,Australia,Australia,bat,South Africa,Kingsmead
2016/17,10/5/2016,Pakistan,West Indies,Pakistan,bat,Pakistan,Sheikh Zayed Stadium
2016/17,10/2/2016,Pakistan,West Indies,Pakistan,bat,Pakistan,Sharjah Cricket Stadium
2016/17,10/2/2016,South Africa,Australia,Australia,field,South Africa,New Wanderers Stadium
2016/17,10/1/2016,Bangladesh,Afghanistan,Bangladesh,bat,Bangladesh,Shere Bangla National Stadium
